Category,Descript,Resolution,Latitude,Longitude,Time,type
LARCENY/THEFT,GRAND THEFT PICKPOCKET,NONE,37.76080106,-122.435563,1900-01-01 23:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.80003745,-122.4335754,1900-01-01 23:30:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.78683439,-122.4127773,1900-01-01 23:30:00,1.0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,"ARREST, BOOKED",37.77364122,-122.4217015,1900-01-01 23:30:00,1.0
ASSAULT,INFLICT INJURY ON COHABITEE,"ARREST, BOOKED",37.77364122,-122.4217015,1900-01-01 23:30:00,1.0
ASSAULT,THREATS AGAINST LIFE,"ARREST, BOOKED",37.77364122,-122.4217015,1900-01-01 23:30:00,1.0
WARRANTS,WARRANT ARREST,"ARREST, BOOKED",37.77364122,-122.4217015,1900-01-01 23:30:00,1.0
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP","ARREST, BOOKED",37.77364122,-122.4217015,1900-01-01 23:30:00,1.0
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP","ARREST, BOOKED",37.71722305,-122.3911499,1900-01-01 23:28:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78766372,-122.4133581,1900-01-01 23:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77622099,-122.4116098,1900-01-01 23:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79036558,-122.4071522,1900-01-01 23:00:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.78671902,-122.4131745,1900-01-01 23:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79634787,-122.3969624,1900-01-01 23:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79787297,-122.4213294,1900-01-01 23:00:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.72156117,-122.4349478,1900-01-01 23:00:00,1.0
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,"ARREST, BOOKED",37.79974182,-122.4217087,1900-01-01 22:50:00,1.0
OTHER OFFENSES,RESISTING ARREST,"ARREST, BOOKED",37.79974182,-122.4217087,1900-01-01 22:50:00,1.0
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,NONE,37.75648641,-122.4065391,1900-01-01 22:40:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79264021,-122.4044206,1900-01-01 22:30:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.72378861,-122.4364474,1900-01-01 22:30:00,1.0
OTHER OFFENSES,TRAFFIC VIOLATION,"ARREST, BOOKED",37.77542071,-122.4034048,1900-01-01 22:30:00,1.0
OTHER OFFENSES,RESISTING ARREST,"ARREST, BOOKED",37.78309982,-122.4191831,1900-01-01 22:17:00,1.0
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED","ARREST, BOOKED",37.78309982,-122.4191831,1900-01-01 22:17:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.77418225,-122.4291789,1900-01-01 22:15:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.78213725,-122.3978145,1900-01-01 22:10:00,1.0
ROBBERY,ROBBERY ON THE STREET WITH A GUN,NONE,37.71926703,-122.4301406,1900-01-01 22:00:00,1.0
ROBBERY,"ROBBERY, BODILY FORCE",NONE,37.78370693,-122.4085951,1900-01-01 22:00:00,1.0
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",NONE,37.80555218,-122.4211919,1900-01-01 22:00:00,1.0
ROBBERY,"ROBBERY, BODILY FORCE",NONE,37.73458546,-122.4001774,1900-01-01 22:00:00,1.0
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,NONE,37.73796045,-122.4463216,1900-01-01 22:00:00,1.0
LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,NONE,37.78370693,-122.4085951,1900-01-01 22:00:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.78150637,-122.4079329,1900-01-01 21:47:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",NONE,37.7618358,-122.4193604,1900-01-01 21:38:00,1.0
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,NONE,37.75182014,-122.4117526,1900-01-01 21:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78213725,-122.3978145,1900-01-01 21:30:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.78824542,-122.4220744,1900-01-01 21:30:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.78149288,-122.4356487,1900-01-01 21:20:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED","ARREST, BOOKED",37.77825108,-122.4198849,1900-01-01 21:18:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.7480941,-122.4081961,1900-01-01 21:00:00,1.0
VEHICLE THEFT,STOLEN TRUCK,NONE,37.7829847,-122.427587,1900-01-01 21:00:00,1.0
ASSAULT,INFLICT INJURY ON COHABITEE,NONE,37.75296284,-122.4838387,1900-01-01 21:00:00,1.0
ASSAULT,THREATS AGAINST LIFE,NONE,37.75296284,-122.4838387,1900-01-01 21:00:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",NONE,37.75296284,-122.4838387,1900-01-01 21:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78034304,-122.4201321,1900-01-01 21:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78023901,-122.4538777,1900-01-01 21:00:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.78490704,-122.4624181,1900-01-01 21:00:00,1.0
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",NONE,37.76422056,-122.4196583,1900-01-01 21:00:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.75990924,-122.3982186,1900-01-01 21:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,NONE,37.78802038,-122.3919855,1900-01-01 21:00:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.77569059,-122.453892,1900-01-01 20:30:00,1.0
ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",NONE,37.76505012,-122.4196718,1900-01-01 20:30:00,1.0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,NONE,37.76505012,-122.4196718,1900-01-01 20:30:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.77542071,-122.4034048,1900-01-01 20:30:00,1.0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,NONE,37.80711797,-122.4164436,1900-01-01 20:25:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.75648641,-122.4065391,1900-01-01 20:24:00,1.0
OTHER OFFENSES,RESISTING ARREST,NONE,37.72954477,-122.3864207,1900-01-01 20:14:00,1.0
OTHER OFFENSES,EVADING A POLICE VEHICLE OR BICYCLE,NONE,37.72954477,-122.3864207,1900-01-01 20:14:00,1.0
WARRANTS,POST RELEASE COMMUNITY SUPERVISION,NONE,37.72954477,-122.3864207,1900-01-01 20:14:00,1.0
WEAPON LAWS,SUSPICIOUS PACKAGE,UNFOUNDED,37.73546403,-122.5031033,1900-01-01 20:12:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77542071,-122.4034048,1900-01-01 20:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79848677,-122.4466404,1900-01-01 20:00:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.77465541,-122.4250182,1900-01-01 20:00:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",NONE,37.71774644,-122.3913184,1900-01-01 19:50:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.79414474,-122.3964219,1900-01-01 19:38:00,1.0
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,NONE,37.77542071,-122.4034048,1900-01-01 19:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77089466,-122.4149989,1900-01-01 19:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77679103,-122.4737004,1900-01-01 19:30:00,1.0
LARCENY/THEFT,GRAND THEFT OF PROPERTY,NONE,37.78658162,-122.3979117,1900-01-01 19:30:00,1.0
WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,"ARREST, BOOKED",37.7594198,-122.4260366,1900-01-01 19:24:00,1.0
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,"ARREST, BOOKED",37.7594198,-122.4260366,1900-01-01 19:24:00,1.0
SECONDARY CODES,GANG ACTIVITY,"ARREST, BOOKED",37.7594198,-122.4260366,1900-01-01 19:24:00,1.0
LARCENY/THEFT,GRAND THEFT FROM PERSON,NONE,37.80199424,-122.4196161,1900-01-01 19:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.76337581,-122.4204347,1900-01-01 19:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,NONE,37.7966653,-122.3953297,1900-01-01 19:00:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.73812418,-122.3815608,1900-01-01 19:00:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",NONE,37.75648641,-122.4065391,1900-01-01 19:00:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.75534435,-122.395251,1900-01-01 19:00:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.78418935,-122.4076335,1900-01-01 19:00:00,1.0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,NONE,37.77247261,-122.428007,1900-01-01 19:00:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.80052737,-122.410962,1900-01-01 19:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.75076434,-122.491208,1900-01-01 19:00:00,1.0
VEHICLE THEFT,STOLEN TRUCK,"ARREST, BOOKED",37.7647129,-122.4917242,1900-01-01 19:00:00,1.0
WEAPON LAWS,"SWITCHBLADE KNIFE, POSSESSION",NONE,37.75648641,-122.4065391,1900-01-01 19:00:00,1.0
NON-CRIMINAL,SEARCH WARRANT SERVICE,"ARREST, BOOKED",37.7647129,-122.4917242,1900-01-01 19:00:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.78808967,-122.3987082,1900-01-01 18:42:00,1.0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,NONE,37.74372682,-122.4811832,1900-01-01 18:40:00,1.0
LARCENY/THEFT,GRAND THEFT PICKPOCKET,NONE,37.78418935,-122.4076335,1900-01-01 18:40:00,1.0
FRAUD,"CREDIT CARD, THEFT BY USE OF",NONE,37.78418935,-122.4076335,1900-01-01 18:40:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.77382983,-122.4248514,1900-01-01 18:35:00,1.0
NON-CRIMINAL,AIDED CASE,NONE,37.80826133,-122.4149883,1900-01-01 18:34:00,1.0
NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION","ARREST, BOOKED",37.77016118,-122.4461656,1900-01-01 18:33:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED","ARREST, BOOKED",37.73006772,-122.3923516,1900-01-01 18:32:00,1.0
ASSAULT,BATTERY,"ARREST, BOOKED",37.78295148,-122.4132595,1900-01-01 18:20:00,1.0
NON-CRIMINAL,FOUND PROPERTY,NONE,37.77542071,-122.4034048,1900-01-01 18:05:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.77514629,-122.4192579,1900-01-01 18:00:00,1.0
